"id","name","created_at","updated_at"
211,"Bette Midler","2025-03-23 19:54:11","2025-03-23 19:54:11"
212,"Peter Vesth","2025-03-23 19:54:11","2025-03-23 19:54:11"
213,"Scissor Sisters","2025-03-23 19:54:11","2025-03-23 19:54:11"
214,"Bill Withers","2025-03-23 19:54:11","2025-03-23 19:54:11"
215,"Reef","2025-03-23 19:54:11","2025-03-23 19:54:11"
216,"KC & The Sunshine Band","2025-03-23 19:54:11","2025-03-23 19:54:11"
217,"Landsholdet","2025-03-23 19:54:11","2025-03-23 19:54:11"
218,"Don McLean","2025-03-23 19:54:11","2025-03-23 19:54:11"
219,"Lifehouse","2025-03-23 19:54:11","2025-03-23 19:54:11"
220,"D-A-D","2025-03-23 19:54:11","2025-03-23 19:54:11"
221,"C.V. Jørgensen","2025-03-23 19:54:11","2025-03-23 19:54:11"
222,"David Bowie/mick Jagger","2025-03-23 19:54:11","2025-03-23 19:54:11"
223,"D:Ream","2025-03-23 19:54:11","2025-03-23 19:54:11"
224,"Green Day","2025-03-23 19:54:11","2025-03-23 19:54:11"
225,"Shu-bi-dua","2025-03-23 19:54:11","2025-03-23 19:54:11"
226,"Danseorkestret","2025-03-23 19:54:11","2025-03-23 19:54:11"
227,"Kenny Loggins","2025-03-23 19:54:11","2025-03-23 19:54:11"
228,"Scott McKenzie","2025-03-23 19:54:11","2025-03-23 19:54:11"
229,"Kylie Minogue","2025-03-23 19:54:11","2025-03-23 19:54:11"
230,"Smash Mouth","2025-03-23 19:54:11","2025-03-23 19:54:11"
231,"Rodriguez","2025-03-23 19:54:11","2025-03-23 19:54:11"
232,"Medina","2025-03-23 19:54:11","2025-03-23 19:54:11"
233,"Slade","2025-03-23 19:54:11","2025-03-23 19:54:11"
234,"Sort Sol","2025-03-23 19:54:11","2025-03-23 19:54:11"
235,"Slåbrock Band","2025-03-23 19:54:11","2025-03-23 19:54:11"
236,"Percy Slegde","2025-03-23 19:54:11","2025-03-23 19:54:11"
237,"Train","2025-03-23 19:54:11","2025-03-23 19:54:11"
238,"Dr. Hook","2025-03-23 19:54:11","2025-03-23 19:54:11"
239,"Dodo & the Dodos","2025-03-23 19:54:11","2025-03-23 19:54:11"
240,"Volbeat","2025-03-23 19:54:11","2025-03-23 19:54:11"
241,"Johnny Cash","2025-03-23 19:54:11","2025-03-23 19:54:11"
242,"Delta Spirit","2025-03-23 19:54:11","2025-03-23 19:54:11"
243,"T.L.C.","2025-03-23 19:54:11","2025-03-23 19:54:11"
244,"Crowded House","2025-03-23 19:54:11","2025-03-23 19:54:11"
245,"John Lennon","2025-03-23 19:54:11","2025-03-23 19:54:11"
246,"Nanna","2025-03-23 19:54:11","2025-03-23 19:54:11"
247,"Tom Paxton","2025-03-23 19:54:11","2025-03-23 19:54:11"
248,"The Hollies","2025-03-23 19:54:11","2025-03-23 19:54:11"
249,"","2025-03-23 19:54:11","2025-03-23 19:54:11"
250,"Laid Back","2025-03-23 19:54:11","2025-03-23 19:54:11"
251,"Tobias Rahim & Andreas Odbjerg","2025-03-23 19:54:11","2025-03-23 19:54:11"
252,"Andreas Odbjerg","2025-03-23 19:54:11","2025-03-23 19:54:11"
253,"The Platters","2025-03-23 19:54:11","2025-03-23 19:54:11"
254,"Kenny Rogers","2025-03-23 19:54:11","2025-03-23 19:54:11"
255,"Michael Learns to rock","2025-03-23 19:54:11","2025-03-23 19:54:11"
256,"The Buggles","2025-03-23 19:54:11","2025-03-23 19:54:11"
257,"Tobias Rahim","2025-03-23 19:54:11","2025-03-23 19:54:11"
258,"Bjarne Jes Hansen","2025-03-23 19:54:11","2025-03-23 19:54:11"
259,"Chuck Berry","2025-03-23 19:54:11","2025-03-23 19:54:11"
260,"Harry Belafonte","2025-03-23 19:54:11","2025-03-23 19:54:11"
261,"Wild Cherry","2025-03-23 19:54:11","2025-03-23 19:54:11"
262,"Ottowan","2025-03-23 19:54:11","2025-03-23 19:54:11"
263,"Beastie Boys","2025-03-23 19:54:11","2025-03-23 19:54:11"
264,"Joan Jett","2025-03-23 19:54:11","2025-03-23 19:54:11"
265,"John Denver","2025-03-23 19:54:11","2025-03-23 19:54:11"
266,"Poison","2025-03-23 19:54:11","2025-03-23 19:54:11"
267,"Dean Martin","2025-03-23 19:54:11","2025-03-23 19:54:11"
268,"Janne Mark","2025-03-23 19:54:11","2025-03-23 19:54:11"
269,"Povl Dissing","2025-03-23 19:54:11","2025-03-23 19:54:11"
270,"Gerry & The Pacemakers","2025-03-23 19:54:11","2025-03-23 19:54:11"
271,"Gary Portnoy","2025-03-23 19:54:11","2025-03-23 19:54:11"
272,"Rihanna","2025-03-23 19:54:11","2025-03-23 19:54:11"
273,"Macy Gray","2025-03-23 19:54:11","2025-03-23 19:54:11"
274,"Dusty Springfield","2025-03-23 19:54:11","2025-03-23 19:54:11"
275,"John Mogensen","2025-03-23 19:54:11","2025-03-23 19:54:11"
276,"The Offspring","2025-03-23 19:54:11","2025-03-23 19:54:11"
277,"Leonard Cohen","2025-03-23 19:54:11","2025-03-23 19:54:11"
278,"John Grant","2025-03-23 19:54:11","2025-03-23 19:54:11"
279,"Kashmir","2025-03-23 19:54:11","2025-03-23 19:54:11"
280,"Lynyrd Skynyrd","2025-03-23 19:54:11","2025-03-23 19:54:11"
281,"Brødrene Olsen","2025-03-23 19:54:11","2025-03-23 19:54:11"
282,"Nanna Lüders","2025-03-23 19:54:11","2025-03-23 19:54:11"
283,"Coldplay","2025-03-23 19:54:11","2025-03-23 19:54:11"
284,"I Got You On Tape","2025-03-23 19:54:11","2025-03-23 19:54:11"
285,"Teddy Edelmand","2025-03-23 19:54:11","2025-03-23 19:54:11"
286,"Ed Sheeran","2025-03-23 19:54:11","2025-03-23 19:54:11"
287,"John Travolta - Olivia Newton John","2025-03-23 19:54:11","2025-03-23 19:54:11"
288,"Mariah Carey","2025-03-23 19:54:11","2025-03-23 19:54:11"
289,"Elvis Presley","2025-03-23 19:54:11","2025-03-23 19:54:11"
290,"Muse","2025-03-23 19:54:11","2025-03-23 19:54:11"
291,"Brix","2025-03-23 19:54:11","2025-03-23 19:54:11"
292,"The Beach Boys","2025-03-23 19:54:11","2025-03-23 19:54:11"
293,"Dolly Parton & Kenny Rogers","2025-03-23 19:54:11","2025-03-23 19:54:11"
294,"Boney M","2025-03-23 19:54:11","2025-03-23 19:54:11"
295,"Sam Smith","2025-03-23 19:54:11","2025-03-23 19:54:11"
296,"Neil Diamond","2025-03-23 19:54:11","2025-03-23 19:54:11"
297,"Ray Charles","2025-03-23 19:54:11","2025-03-23 19:54:11"
298,"Shocking blue","2025-03-23 19:54:11","2025-03-23 19:54:11"
299,"Prince & The Revolution","2025-03-23 19:54:11","2025-03-23 19:54:11"
